Designator,Value,LibPart,Footprint,Datasheet,Color,Desc,JCLC,R,,
D1,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
D2,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
D3,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
D4,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
D5,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
D6,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
D7,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
D8,C2297,JLCPCB:C2297,LED_SMD:LED_0805_2012Metric,~,GRN,520~530nm Green 0805 Light Emitting Diodes (LED) ROHS,C2297,,,
J1,Conn_01x16,Connector_Generic:Conn_01x16,Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical,~,,,,,,
J3,Conn_01x08,Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~,,,,,,
J4,Conn_01x08,Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~,,,,,,
U1,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U2,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U3,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U4,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U5,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U6,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U7,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U8,"74HC153D,653","JLCPCB:74HC153D,653",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS153,,,C53334,,,
U9,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U10,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U11,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U12,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U13,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U14,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U15,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U16,0603WAF1001T5E,JLCPCB:0603WAF1001T5E,Resistor_SMD:R_0603_1608Metric,,,,C21190,1KΩ,,
U17,"74HC08D,653","JLCPCB:74HC08D,653",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,"https://datasheet.lcsc.com/lcsc/2006241032_Nexperia-74HC08D,653_C5593.pdf",,,C5593,,,
U18,74HCT574,JLCPCB:74HCT574,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,http://www.ti.com/lit/gpn/sn74HCT574,,,C88576,,,
