Designator,Val,Package,Mid X,Mid Y,Rotation,Side
D1,C2297,LED_0805_2012Metric,157.734000,-120.650000,90.000000,top
D2,C2297,LED_0805_2012Metric,155.448000,-120.650000,90.000000,top
D3,C2297,LED_0805_2012Metric,153.162000,-120.650000,90.000000,top
D4,C2297,LED_0805_2012Metric,150.876000,-120.650000,90.000000,top
D5,C2297,LED_0805_2012Metric,148.590000,-120.650000,90.000000,top
D6,C2297,LED_0805_2012Metric,146.304000,-120.650000,90.000000,top
D7,C2297,LED_0805_2012Metric,144.018000,-120.650000,90.000000,top
D8,C2297,LED_0805_2012Metric,141.732000,-120.650000,90.000000,top
U1,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,131.404000,-84.940000,0.000000,top
U2,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,131.382856,-98.285142,0.000000,top
U3,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,142.617047,-84.985714,0.000000,top
U4,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,153.576094,-84.962857,0.000000,top
U5,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,142.595904,-98.262285,0.000000,top
U6,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,153.554952,-98.307999,0.000000,top
U7,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,164.535142,-85.008571,0.000000,top
U8,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,164.514000,-98.239428,0.000000,top
U9,0603WAF1001T5E,R_0603_1608Metric,157.734000,-124.206000,270.000000,top
U10,0603WAF1001T5E,R_0603_1608Metric,155.448000,-124.143000,270.000000,top
U11,0603WAF1001T5E,R_0603_1608Metric,153.162000,-124.206000,270.000000,top
U12,0603WAF1001T5E,R_0603_1608Metric,150.876000,-124.206000,270.000000,top
U13,0603WAF1001T5E,R_0603_1608Metric,148.590000,-124.206000,270.000000,top
U14,0603WAF1001T5E,R_0603_1608Metric,146.304000,-124.206000,270.000000,top
U15,0603WAF1001T5E,R_0603_1608Metric,144.018000,-124.143000,270.000000,top
U16,0603WAF1001T5E,R_0603_1608Metric,141.732000,-124.143000,270.000000,top
U17,"74HC08D,653",SOIC-14_3.9x8.7mm_P1.27mm,134.874000,-112.268000,90.000000,top
U18,74HCT574,SOIC-20W_7.5x12.8mm_P1.27mm,149.606000,-112.014000,270.000000,top
