Designator,Val,Package,Mid X,Mid Y,Rotatoin,Side
C1,0603B103K500NT,C_0603_1608Metric,163.350000,-68.495000,90.000000,top
C2,0603B103K500NT,C_0603_1608Metric,129.860000,-73.850000,0.000000,top
C3,0603B103K500NT,C_0603_1608Metric,164.320000,-58.140000,90.000000,top
C4,0603B103K500NT,C_0603_1608Metric,141.900000,-73.930000,0.000000,top
C5,0603B103K500NT,C_0603_1608Metric,128.390000,-55.820000,90.000000,top
D1,C2297,LED_0805_2012Metric,145.034000,-62.816500,270.000000,top
D2,C2297,LED_0805_2012Metric,147.320000,-62.816500,270.000000,top
D3,C2297,LED_0805_2012Metric,149.606000,-62.816500,270.000000,top
D4,C2297,LED_0805_2012Metric,151.892000,-62.816500,270.000000,top
D5,C2297,LED_0805_2012Metric,154.178000,-62.816500,270.000000,top
D6,C2297,LED_0805_2012Metric,156.464000,-62.816500,270.000000,top
D7,C2297,LED_0805_2012Metric,158.750000,-62.816500,270.000000,top
D8,C2297,LED_0805_2012Metric,161.036000,-62.816500,270.000000,top
U1,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,133.604000,-78.486000,90.000000,top
U2,74HCT574,SOIC-20W_7.5x12.8mm_P1.27mm,135.128000,-63.754000,90.000000,top
U3,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,145.542000,-78.486000,90.000000,top
U4,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,157.480000,-78.486000,90.000000,top
U5,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,169.418000,-78.486000,90.000000,top
U6,"74HC153D,653",SOIC-16_3.9x9.9mm_P1.27mm,169.418000,-69.596000,90.000000,top
U7,"74HC08D,653",SOIC-14_3.9x8.7mm_P1.27mm,169.926000,-60.960000,90.000000,top
U8,0603WAF1001T5E,R_0603_1608Metric,145.034000,-59.436000,90.000000,top
U9,0603WAF1001T5E,R_0603_1608Metric,147.320000,-59.436000,90.000000,top
U10,0603WAF1001T5E,R_0603_1608Metric,149.543000,-59.436000,90.000000,top
U11,0603WAF1001T5E,R_0603_1608Metric,151.892000,-59.499000,90.000000,top
U12,0603WAF1001T5E,R_0603_1608Metric,154.178000,-59.499000,90.000000,top
U13,0603WAF1001T5E,R_0603_1608Metric,156.464000,-59.499000,90.000000,top
U14,0603WAF1001T5E,R_0603_1608Metric,158.750000,-59.499000,90.000000,top
U15,0603WAF1001T5E,R_0603_1608Metric,161.036000,-59.499000,90.000000,top
