Designator,Value,LibPart,Footprint,Datasheet,C,Color,Description,JCLC,JLCPCB,NAME,,
C1,SMD-ECAP-5x5.8,Device:CP1_Small,Capacitor_SMD:CP_Elec_5x5.8,https://datasheet.lcsc.com/lcsc/1810010225_Lelon-VZS101M1ATR-0506_C140924.pdf,100µf,,"- - 5mm 100uF 10V -45℃~+105℃ ±20% 5.8mm 2000hrs 105℃ SMD,5x5.8mm Aluminum Electrolytic Capacitors - SMD ROHS",C140924,C140924,,,
C2,CL05A106MQ5NUNC,Device:C,Capacitor_SMD:C_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf,10µf,,X5R 6.3V ±20% 10uF 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15525,C15525,,,
C5,CL05A106MQ5NUNC,Device:C,Capacitor_SMD:C_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf,10µf,,X5R 6.3V ±20% 10uF 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15525,C15525,,,
D2,19-217/BHC-ZL1M2RY/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-BHC-ZL1M2RY-3T_C72041.pdf,,BLU,,C72041,C72041,,,
D6,NCD0805R1,Device:LED,LED_SMD:LED_0805_2012Metric,https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf,,RED,,,C84256,,,
D7,19-217/BHC-ZL1M2RY/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-BHC-ZL1M2RY-3T_C72041.pdf,,BLU,,C72041,C72041,,,
D12,19-217/BHC-ZL1M2RY/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-BHC-ZL1M2RY-3T_C72041.pdf,,BLU,,C72041,C72041,,,
D16,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
D17,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
D18,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
