Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,SMD-ECAP-5x5.8,CP_Elec_5x5.8,213.868000,-21.590000,0,top
C2,CL05A106MQ5NUNC,C_0402_1005Metric,197.104000,-19.022000,90.000000,top
C5,CL05A106MQ5NUNC,C_0402_1005Metric,184.404000,-19.022000,90.000000,top
D2,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,211.074000,-14.732000,270.000000,top
D6,NCD0805R1,LED_0805_2012Metric,214.630000,-28.702000,90.000000,top
D7,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,212.852000,-14.732000,270.000000,top
D12,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,214.630000,-14.732000,270.000000,top
D16,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,195.072000,-14.732000,270.000000,top
D17,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,196.850000,-14.732000,270.000000,top
D18,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,198.628000,-14.732000,270.000000,top
D19,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,200.406000,-14.732000,270.000000,top
D20,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,202.184000,-14.732000,270.000000,top
D21,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,203.962000,-14.732000,270.000000,top
D22,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,205.740000,-14.732000,270.000000,top
D23,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,207.518000,-14.732000,270.000000,top
R2,0402WGF1001TCE,R_0402_1005Metric,211.074000,-12.192000,90.000000,top
R6,0402WGF1001TCE,R_0402_1005Metric,214.630000,-30.988000,180.000000,top
R7,0402WGF1001TCE,R_0402_1005Metric,212.852000,-12.192000,90.000000,top
R12,0402WGF1001TCE,R_0402_1005Metric,214.630000,-12.192000,90.000000,top
R14,0402WGF1001TCE,R_0402_1005Metric,216.408000,-12.192000,90.000000,top
R16,0402WGF1001TCE,R_0402_1005Metric,195.072000,-12.192000,90.000000,top
R17,0402WGF1001TCE,R_0402_1005Metric,196.850000,-12.192000,90.000000,top
R18,0402WGF1001TCE,R_0402_1005Metric,198.628000,-12.192000,90.000000,top
R19,0402WGF1001TCE,R_0402_1005Metric,200.406000,-12.192000,90.000000,top
R20,0402WGF1001TCE,R_0402_1005Metric,202.184000,-12.192000,90.000000,top
R21,0402WGF1001TCE,R_0402_1005Metric,203.962000,-12.192000,90.000000,top
R22,0402WGF1001TCE,R_0402_1005Metric,205.740000,-12.192000,90.000000,top
R23,0402WGF1001TCE,R_0402_1005Metric,207.518000,-12.192000,90.000000,top
U1,"74HC245PW,118",TSSOP-20_4.4x6.5mm_P0.65mm,175.006000,-21.590000,0,top
U2,SN74HC161DR,SOIC-16_3.9x9.9mm_P1.27mm,202.946000,-21.590000,0,top
U3,19-213_Y2C-CQ2R2L_3T(CY),LED_0603_1608Metric,216.408000,-14.732000,270.000000,top
U4,SN74HC161DR,SOIC-16_3.9x9.9mm_P1.27mm,190.246000,-21.590000,0,top
