Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,SMD-ECAP-5x5.8,CP_Elec_5x5.8,172.720000,-78.994000,180,top
C2,0603B103K500NT,C_0603_1608Metric,169.926000,-85.344000,0.000000,top
C3,0603B103K500NT,C_0603_1608Metric,206.502000,-82.296000,180.000000,top
C4,0603B103K500NT,C_0603_1608Metric,223.520000,-82.550000,0.000000,top
C5,0603B103K500NT,C_0603_1608Metric,181.102000,-85.344000,180.000000,top
Q1,2N3904S-RTK_PS,SOT-23,222.250000,-94.996000,270,top
R1,0402WGF1001TCE,R_0402_1005Metric,204.978000,-78.234000,270.000000,top
R2,0402WGF1001TCE,R_0402_1005Metric,224.536000,-77.978000,90.000000,top
R3,0603WAF1002T5E,R_0402_1005Metric,222.248000,-97.282000,0.000000,top
R4,0402WGF3901TCE,R_0402_1005Metric,222.250000,-92.710000,0.000000,top
R5,0402WGF1001TCE,R_0402_1005Metric,200.660000,-92.456000,270.000000,top
R6,0402WGF1001TCE,R_0402_1005Metric,198.882000,-92.456000,270.000000,top
R7,0402WGF1001TCE,R_0402_1005Metric,197.104000,-92.456000,270.000000,top
R8,0402WGF1001TCE,R_0402_1005Metric,213.866000,-95.758000,0.000000,top
R9,0402WGF1001TCE,R_0402_1005Metric,216.154000,-95.758000,0.000000,top
R10,0402WGF1001TCE,R_0402_1005Metric,218.440000,-95.758000,0.000000,top
R11,0402WGF1001TCE,R_0402_1005Metric,179.068000,-77.978000,180.000000,top
R12,0402WGF1001TCE,R_0402_1005Metric,179.068000,-78.994000,180.000000,top
R13,0402WGF1001TCE,R_0402_1005Metric,179.068000,-80.010000,180.000000,top
U2,"74HC173D,652",SOIC-16_3.9x9.9mm_P1.27mm,197.866000,-83.058000,0,top
U3,CD4060BM96,SOIC-16_3.9x9.9mm_P1.27mm,173.736000,-90.170000,0,top
U4,CD4060BM96,SOIC-16_3.9x9.9mm_P1.27mm,186.436000,-90.170000,0,top
U5,"74HC251D,653",SOIC-16_3.9x9.9mm_P1.27mm,211.328000,-87.122000,0,top
U6,"74HC157PW,118",TSSOP-16_4.4x5mm_P0.65mm,221.742000,-87.376000,0,top
U8,19-217_GHC-YR1S2_3T,LED_0603_1608Metric,200.660000,-89.662000,90.000000,top
U9,19-217_GHC-YR1S2_3T,LED_0603_1608Metric,198.882000,-89.662000,90.000000,top
U10,19-217_GHC-YR1S2_3T,LED_0603_1608Metric,197.104000,-89.662000,90.000000,top
U11,NCD0805R1,LED_0805_2012Metric,213.868000,-93.218000,90.000000,top
U12,19-217_BHC-ZL1M2RY_3T,LED_0603_1608Metric,216.154000,-93.243500,90.000000,top
U13,19-217_BHC-ZL1M2RY_3T,LED_0603_1608Metric,218.440000,-93.243500,90.000000,top
