Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,CL05A106MQ5NUNC,C_0402_1005Metric,133.424000,-75.948000,90.000000,top
C2,CL05A106MQ5NUNC,C_0402_1005Metric,145.104000,-74.138000,90.000000,top
C3,CL05A106MQ5NUNC,C_0402_1005Metric,163.188000,-74.188000,90.000000,top
C4,CL05A106MQ5NUNC,C_0402_1005Metric,181.422000,-74.148000,90.000000,top
C5,SMD-ECAP-5x5.8,CP_Elec_5x5.8,201.682000,-83.312000,180.000,top
C6,CL05A106MQ5NUNC,C_0402_1005Metric,122.112000,-76.158000,90.000000,top
D1,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,206.242000,-71.145500,90.000000,top
D2,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,204.464000,-71.145500,90.000000,top
D3,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,202.686000,-71.145500,90.000000,top
D4,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,200.908000,-71.145500,90.000000,top
D5,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,199.130000,-71.145500,90.000000,top
D6,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,197.352000,-71.120000,90.000000,top
D7,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,195.574000,-71.145500,90.000000,top
D8,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,193.796000,-71.120000,90.000000,top
D9,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,128.462000,-72.630000,270.000000,top
D10,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,126.684000,-72.630000,270.000000,top
D11,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,124.906000,-72.604500,270.000000,top
D12,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,123.128000,-72.604500,270.000000,top
R1,0402WGF1001TCE,R_0402_1005Metric,206.242000,-73.914000,270.000000,top
R2,0402WGF1001TCE,R_0402_1005Metric,204.464000,-73.914000,270.000000,top
R3,0402WGF1001TCE,R_0402_1005Metric,202.686000,-73.914000,270.000000,top
R4,0402WGF1001TCE,R_0402_1005Metric,200.908000,-73.916000,270.000000,top
R5,0402WGF1001TCE,R_0402_1005Metric,199.130000,-73.912000,270.000000,top
R6,0402WGF1001TCE,R_0402_1005Metric,197.352000,-73.914000,270.000000,top
R7,0402WGF1001TCE,R_0402_1005Metric,195.574000,-73.914000,270.000000,top
R8,0402WGF1001TCE,R_0402_1005Metric,193.796000,-73.914000,270.000000,top
R9,0402WGF1001TCE,R_0402_1005Metric,128.462000,-69.836000,90.000000,top
R10,0402WGF1001TCE,R_0402_1005Metric,126.684000,-69.838000,90.000000,top
R11,0402WGF1001TCE,R_0402_1005Metric,124.906000,-69.834000,90.000000,top
R12,0402WGF1001TCE,R_0402_1005Metric,123.128000,-69.834000,90.000000,top
U1,"74HC08D,653",SOIC-14_3.9x8.7mm_P1.27mm,125.922000,-81.012000,0,top
U2,"74HC574PW,118",TSSOP-20_4.4x6.5mm_P0.65mm,136.336000,-81.012000,0,top
U3,"74HC245D,653",SO-20_12.8x7.5mm_P1.27mm,150.814000,-81.012000,0,top
U4,"74HC245D,653",SO-20_12.8x7.5mm_P1.27mm,168.905600,-81.012000,0,top
U5,"74HC245D,653",SO-20_12.8x7.5mm_P1.27mm,187.136000,-81.012000,0,top
