Ref,Val,Package,PosX,PosY,Rot,Side
"D1","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",166.624000,-68.580000,270.000000,top
"D2","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",151.384000,-68.554500,270.000000,top
"D3","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",153.924000,-68.580000,270.000000,top
"D4","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",156.464000,-68.554500,270.000000,top
"D5","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",159.004000,-68.580000,270.000000,top
"D6","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",161.544000,-68.554500,270.000000,top
"D7","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",164.084000,-68.580000,270.000000,top
"D8","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",169.164000,-68.580000,270.000000,top
"R1","0402WGF1001TCE","R_0402_1005Metric",166.624000,-66.294000,180.000000,top
"R2","0402WGF1001TCE","R_0402_1005Metric",151.384000,-66.294000,180.000000,top
"R3","0402WGF1001TCE","R_0402_1005Metric",153.926000,-66.294000,180.000000,top
"R4","0402WGF1001TCE","R_0402_1005Metric",156.464000,-66.294000,180.000000,top
"R5","0402WGF1001TCE","R_0402_1005Metric",159.006000,-66.294000,180.000000,top
"R6","0402WGF1001TCE","R_0402_1005Metric",161.544000,-66.294000,180.000000,top
"R7","0402WGF1001TCE","R_0402_1005Metric",164.084000,-66.294000,180.000000,top
"R8","0402WGF1001TCE","R_0402_1005Metric",169.166000,-66.294000,180.000000,top
