Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,SMD-ECAP-5x5.8,CP_Elec_5x5.8,189.316000,-115.824000,180.000000,top
C2,CL05A106MQ5NUNC,C_0402_1005Metric,118.872000,-115.316000,270.000000,top
C3,CL05A106MQ5NUNC,C_0402_1005Metric,162.052000,-115.344000,270.000000,top
D1,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,129.646000,-116.174000,90.000000,top
D2,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,173.108000,-116.184000,90.000000,top
D3,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,131.424000,-116.174000,90.000000,top
D4,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,174.886000,-116.209500,90.000000,top
D5,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,133.202000,-116.199500,90.000000,top
D6,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,176.664000,-116.209500,90.000000,top
D7,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,134.980000,-116.199500,90.000000,top
D8,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,178.442000,-116.209500,90.000000,top
D9,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,120.650000,-122.656500,90.000000,top
D10,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,122.428000,-122.682000,90.000000,top
D11,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,124.206000,-122.656500,90.000000,top
D12,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,125.984000,-122.682000,90.000000,top
D13,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,127.762000,-122.682000,90.000000,top
D14,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,129.540000,-122.707500,90.000000,top
D15,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,131.318000,-122.707500,90.000000,top
D16,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,133.096000,-122.707500,90.000000,top
D17,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,134.874000,-122.707500,90.000000,top
D18,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,136.652000,-122.707500,90.000000,top
D19,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,138.430000,-122.707500,90.000000,top
D20,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,140.208000,-122.707500,90.000000,top
D21,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,141.986000,-122.682000,90.000000,top
D22,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,143.764000,-122.682000,90.000000,top
D23,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,145.542000,-122.682000,90.000000,top
D24,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,164.338000,-122.707500,90.000000,top
D25,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,166.116000,-122.682000,90.000000,top
D26,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,167.894000,-122.682000,90.000000,top
D27,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,169.672000,-122.707500,90.000000,top
D28,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,171.450000,-122.707500,90.000000,top
D29,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,173.228000,-122.707500,90.000000,top
D30,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,175.006000,-122.707500,90.000000,top
D31,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,176.784000,-122.682000,90.000000,top
D32,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,178.562000,-122.682000,90.000000,top
