Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C2,CL05A106MQ5NUNC,C_0402_1005Metric,226.060000,-180.340000,180.000000,top
C3,CL05A106MQ5NUNC,C_0402_1005Metric,223.266000,-199.870000,270.000000,top
C4,CL05A106MQ5NUNC,C_0402_1005Metric,135.636000,-180.340000,180.000000,top
C5,CL05A106MQ5NUNC,C_0402_1005Metric,139.446000,-197.866000,0.000000,top
C6,CL05A106MQ5NUNC,C_0402_1005Metric,166.370000,-179.832000,180.000000,top
C7,CL05A106MQ5NUNC,C_0402_1005Metric,195.834000,-180.340000,180.000000,top
C8,CL05A106MQ5NUNC,C_0402_1005Metric,167.894000,-197.358000,180.000000,top
C9,CL05A106MQ5NUNC,C_0402_1005Metric,197.104000,-197.358000,180.000000,top
D1,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,242.062000,-176.504500,270.000000,top
D2,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,153.864000,-173.216000,90.000000,top
D3,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,240.284000,-176.504500,270.000000,top
D4,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,155.676500,-173.228000,90.000000,top
D5,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,238.506000,-176.504500,270.000000,top
D6,NCD0805R1,LED_0805_2012Metric,138.684000,-173.990000,90.000000,top
D7,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,157.480000,-173.228000,90.000000,top
D8,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,236.728000,-176.530000,270.000000,top
D9,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,234.950000,-176.555500,270.000000,top
D10,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,159.258000,-173.228000,90.000000,top
D11,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,233.172000,-176.530000,270.000000,top
D12,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,161.036000,-173.228000,90.000000,top
D13,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,231.394000,-176.530000,270.000000,top
D14,NCD0805R1,LED_0805_2012Metric,209.296000,-175.514000,90.000000,top
D15,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,229.616000,-176.530000,270.000000,top
D16,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,227.838000,-176.504500,270.000000,top
D17,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,226.060000,-176.504500,270.000000,top
D18,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,224.282000,-176.530000,270.000000,top
D19,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,222.504000,-176.504500,270.000000,top
D20,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,220.726000,-176.504500,270.000000,top
D21,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,218.948000,-176.504500,270.000000,top
D22,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,217.170000,-176.504500,270.000000,top
D23,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,215.392000,-176.504500,270.000000,top
R1,0402WGF1001TCE,R_0402_1005Metric,242.062000,-173.992000,90.000000,top
R2,0402WGF1001TCE,R_0402_1005Metric,153.924000,-176.022000,270.000000,top
R3,0402WGF1001TCE,R_0402_1005Metric,240.284000,-173.988000,90.000000,top
R4,0402WGF1001TCE,R_0402_1005Metric,155.702000,-176.020000,270.000000,top
R5,0402WGF1001TCE,R_0402_1005Metric,238.506000,-173.988000,90.000000,top
R6,0402WGF1001TCE,R_0402_1005Metric,138.684000,-176.784000,270.000000,top
R7,0402WGF1001TCE,R_0402_1005Metric,157.480000,-176.022000,270.000000,top
R8,0402WGF1001TCE,R_0402_1005Metric,236.728000,-173.990000,90.000000,top
R9,0402WGF1001TCE,R_0402_1005Metric,234.950000,-173.992000,90.000000,top
R10,0402WGF1001TCE,R_0402_1005Metric,159.258000,-176.022000,270.000000,top
R11,0402WGF1001TCE,R_0402_1005Metric,233.172000,-173.992000,90.000000,top
R12,0402WGF1001TCE,R_0402_1005Metric,161.036000,-176.022000,270.000000,top
R13,0402WGF1001TCE,R_0402_1005Metric,231.394000,-173.990000,90.000000,top
R14,0402WGF1001TCE,R_0402_1005Metric,211.074000,-175.514000,90.000000,top
R15,0402WGF1001TCE,R_0402_1005Metric,229.616000,-173.990000,90.000000,top
R16,0402WGF1001TCE,R_0402_1005Metric,227.838000,-173.990000,90.000000,top
R17,0402WGF1001TCE,R_0402_1005Metric,226.060000,-173.990000,90.000000,top
R18,0402WGF1001TCE,R_0402_1005Metric,224.282000,-173.990000,90.000000,top
R19,0402WGF1001TCE,R_0402_1005Metric,222.504000,-173.992000,90.000000,top
R20,0402WGF1001TCE,R_0402_1005Metric,220.726000,-173.990000,90.000000,top
R21,0402WGF1001TCE,R_0402_1005Metric,218.948000,-173.992000,90.000000,top
R22,0402WGF1001TCE,R_0402_1005Metric,217.170000,-173.988000,90.000000,top
R23,0402WGF1001TCE,R_0402_1005Metric,215.392000,-173.988000,90.000000,top
