Reference, Quantity, Value, Footprint, Datasheet, Description, JLCPCB, LCSC, LCSC Part Number, R, C, Color
C1 ,1,"0402B102K500NT","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1809291524_FH-Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf","X7R 1nF ±10% 50V 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1523","C1523","C1523","","1nf",""
C2 ,1,"CS1V220M-CRE54","Capacitor_SMD:CP_Elec_6.3x5.4","https://datasheet.lcsc.com/lcsc/1811082138_ST-Semtech-CS1V220M-CRE54_C116086.pdf","- - 1000hrs 105℃ 35V 22uF 6.3mm ±20% -40℃~+105℃ 5.4mm SMD,6.3x5.4mm Aluminum Electrolytic Capacitors - SMD ROHS","C116086","C116086","C116086","","22µf",""
C5 ,1,"CS1A471M-CRE77","Capacitor_SMD:CP_Elec_6.3x7.7","https://datasheet.lcsc.com/lcsc/1811061025_ST-Semtech-CS1A471M-CRE77_C116423.pdf","- - 470uF 6.3mm 7.7mm 2000hrs 105℃ ±20% 10V -40℃~+105℃ SMD,6.3x7.7mm Aluminum Electrolytic Capacitors - SMD ROHS","C116423","C116423","C116423","","470µf",""
D12 ,1,"19-217/BHC-ZL1M2RY/3T","LED_SMD:LED_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-BHC-ZL1M2RY-3T_C72041.pdf","","C72041","C72041","C72041","","","BLU"
J2 ,1,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J3 J4 ,2,"Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
R1 ,1,"0402WGF1002TCE","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1809301717_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","1/16W ±1% ±100ppm/℃ 10kΩ 0402 Chip Resistor - Surface Mount ROHS","C25744","C25744","C25744","10kΩ","",""
R12 ,1,"0402WGF1001TCE","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf","±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS","C11702","C11702","C11702","","",""
RV2 ,1,"3296W-1-203","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","https://datasheet.lcsc.com/lcsc/1811011713_BOCHEN-Chengdu-Guosheng-Tech-3296W-1-203_C118936.pdf","Variable Resistors 20kΩ ±10% ±250ppm/℃ 3296W Variable Resistors/Potentiometers ROHS","C118936","C118936","C118936","20kΩ","20kΩ",""
SW1 ,1,"sw-push","Button_Switch_THT:SW_PUSH_6mm",""
U1 ,1,"LMC555CMX/NOPB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1810181624_Texas-Instruments-LMC555CMX-NOPB_C90760.pdf","SOIC-8_150mil Timer ROHS","C90760","C90760","C90760","","",""
